python3 -m cProfile -s cumtime src/main.py >> profile.txt
         1015011 function calls (1009599 primitive calls) in 7.412 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    340/1    0.020    0.000    7.444    7.444 {built-in method builtins.exec}
        1    0.000    0.000    7.444    7.444 main.py:1(<module>)
        1    0.000    0.000    6.307    6.307 base_events.py:438(run_until_complete)
        1    0.003    0.003    6.307    6.307 base_events.py:410(run_forever)
      903    0.034    0.000    6.304    0.007 base_events.py:1344(_run_once)
     2880    0.016    0.000    6.161    0.002 events.py:143(_run)
      692    0.042    0.000    5.427    0.008 player_network.py:94(listen)
     5061    0.037    0.000    5.214    0.001 player_network.py:103(manage_message)
        2    0.000    0.000    2.683    1.342 player_network.py:46(_log_in)
        2    0.000    0.000    2.681    1.341 api.py:104(post)
        2    0.000    0.000    2.681    1.341 api.py:16(request)
        2    0.000    0.000    2.676    1.338 sessions.py:466(request)
        2    0.000    0.000    2.655    1.327 sessions.py:617(send)
        2    0.000    0.000    2.647    1.323 adapters.py:394(send)
        2    0.000    0.000    2.635    1.318 connectionpool.py:446(urlopen)
        2    0.000    0.000    2.633    1.316 connectionpool.py:319(_make_request)
     4947    0.160    0.000    2.465    0.000 player.py:48(battle)
        2    0.000    0.000    2.031    1.015 client.py:1287(getresponse)
        2    0.000    0.000    2.031    1.015 client.py:290(begin)
        4    0.000    0.000    2.025    0.506 socket.py:572(readinto)
        4    0.000    0.000    2.025    0.506 pyopenssl.py:292(recv_into)
       26    0.000    0.000    2.025    0.078 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    2.025    1.012 client.py:257(_read_status)
        4    0.000    0.000    2.025    0.506 SSL.py:1690(recv_into)
        4    2.024    0.506    2.024    0.506 {built-in method _openssl.SSL_read}
     3566    0.063    0.000    1.220    0.000 random_random_battle.py:36(select_move)
    360/5    0.007    0.000    1.142    0.228 <frozen importlib._bootstrap>:966(_find_and_load)
    360/5    0.005    0.000    1.141    0.228 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    350/7    0.007    0.000    1.133    0.162 <frozen importlib._bootstrap>:651(_load_unlocked)
    451/6    0.002    0.000    1.133    0.189 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    309/5    0.003    0.000    1.131    0.226 <frozen importlib._bootstrap_external>:672(exec_module)
     3598    0.046    0.000    1.068    0.000 player_network.py:132(send_message)
        1    0.000    0.000    0.865    0.865 random_random_battle.py:1(<module>)
     3598    0.037    0.000    0.818    0.000 protocol.py:446(send)
    90/30    0.001    0.000    0.787    0.026 {built-in method builtins.__import__}
        1    0.000    0.000    0.768    0.768 player.py:1(<module>)
        1    0.000    0.000    0.767    0.767 player_network.py:1(<module>)
     3600    0.099    0.000    0.744    0.000 protocol.py:889(write_frame)
     1264    0.064    0.000    0.731    0.001 battle.py:270(update_from_request)
        1    0.000    0.000    0.727    0.727 __init__.py:41(<module>)
 1051/526    0.005    0.000    0.695    0.001 <frozen importlib._bootstrap>:997(_handle_fromlist)
     7584    0.226    0.000    0.636    0.000 pokemon.py:144(update_from_request)
      726    0.038    0.000    0.602    0.001 protocol.py:664(transfer_data)
        2    0.000    0.000    0.598    0.299 connectionpool.py:831(_validate_conn)
        2    0.000    0.000    0.598    0.299 connection.py:299(connect)
     5766    0.034    0.000    0.529    0.000 protocol.py:732(read_message)
     5766    0.025    0.000    0.483    0.000 protocol.py:803(read_data_frame)
     5766    0.039    0.000    0.458    0.000 protocol.py:874(read_frame)
        1    0.000    0.000    0.413    0.413 pyopenssl.py:43(<module>)
       11    0.000    0.000    0.374    0.034 __init__.py:5(<module>)
     5766    0.088    0.000    0.371    0.000 framing.py:74(read)
     3600    0.093    0.000    0.349    0.000 framing.py:144(write)
        2    0.000    0.000    0.343    0.171 ssl_.py:291(ssl_wrap_socket)
        2    0.000    0.000    0.307    0.153 pyopenssl.py:438(wrap_socket)
        2    0.000    0.000    0.306    0.153 SSL.py:1800(do_handshake)
        2    0.305    0.153    0.306    0.153 {built-in method _openssl.SSL_do_handshake}
       16    0.001    0.000    0.281    0.018 __init__.py:1(<module>)
        1    0.000    0.000    0.264    0.264 __init__.py:6(<module>)
        1    0.000    0.000    0.257    0.257 crypto.py:1(<module>)
  356/332    0.009    0.000    0.235    0.001 <frozen importlib._bootstrap>:870(_find_spec)
        2    0.000    0.000    0.226    0.113 base.py:5(<module>)
        2    0.000    0.000    0.224    0.112 connection.py:145(_new_conn)
        2    0.000    0.000    0.224    0.112 connection.py:33(create_connection)
    15334    0.125    0.000    0.207    0.000 streams.py:643(readexactly)
      196    0.003    0.000    0.191    0.001 re.py:286(_compile)
       92    0.000    0.000    0.188    0.002 re.py:231(compile)
       83    0.002    0.000    0.184    0.002 sre_compile.py:557(compile)
     3602    0.015    0.000    0.183    0.000 streams.py:299(write)
        1    0.000    0.000    0.177    0.177 base_events.py:14(<module>)
        1    0.000    0.000    0.176    0.176 extensions.py:5(<module>)
      309    0.008    0.000    0.174    0.001 <frozen importlib._bootstrap_external>:743(get_code)
     3602    0.032    0.000    0.168    0.000 selector_events.py:745(write)
        2    0.000    0.000    0.163    0.081 __init__.py:3(<module>)
    31524    0.107    0.000    0.158    0.000 pokemon.py:139(update_from_move)
     1357    0.012    0.000    0.155    0.000 __init__.py:302(loads)
     5737    0.044    0.000    0.153    0.000 protocol.py:369(recv)
     3598    0.044    0.000    0.147    0.000 coroutines.py:210(coro)
      337    0.001    0.000    0.140    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
88533/88299    0.138    0.000    0.139    0.000 {built-in method builtins.len}
